time_sec,left_motor,right_motor,forward,backward,left_turn,right_turn,serial_command
10.2246,0,0,0,0,0,0,L0 R0
10.2742,0,0,0,0,0,0,L0 R0
10.3241,0,0,0,0,0,0,L0 R0
10.3749,0,0,0,0,0,0,L0 R0
10.4257,0,0,0,0,0,0,L0 R0
10.4753,0,0,0,0,0,0,L0 R0
10.5251,0,0,0,0,0,0,L0 R0
10.575,0,0,0,0,0,0,L0 R0
10.6257,0,0,0,0,0,0,L0 R0
10.6757,0,0,0,0,0,0,L0 R0
10.7251,0,0,0,0,0,0,L0 R0
10.7756,0,0,0,0,0,0,L0 R0
10.8251,0,0,0,0,0,0,L0 R0
10.8757,0,0,0,0,0,0,L0 R0
10.9257,0,0,0,0,0,0,L0 R0
10.9756,0,0,0,0,0,0,L0 R0
11.0255,0,0,0,0,0,0,L0 R0
11.0755,0,0,0,0,0,0,L0 R0
11.1251,0,0,0,0,0,0,L0 R0
11.1751,0,0,0,0,0,0,L0 R0
11.2248,0,0,0,0,0,0,L0 R0
11.2756,0,0,0,0,0,0,L0 R0
11.3257,0,0,0,0,0,0,L0 R0
11.375,0,0,0,0,0,0,L0 R0
11.4258,0,0,0,0,0,0,L0 R0
11.4768,0,0,0,0,0,0,L0 R0
11.5263,0,0,0,0,0,0,L0 R0
11.5761,0,0,0,0,0,0,L0 R0
11.6265,0,0,0,0,0,0,L0 R0
11.6762,0,0,0,0,0,0,L0 R0
11.7265,0,0,0,0,0,0,L0 R0
11.7761,0,0,0,0,0,0,L0 R0
11.8266,0,0,0,0,0,0,L0 R0
11.8761,0,0,0,0,0,0,L0 R0
11.9263,0,0,0,0,0,0,L0 R0
11.9769,0,0,0,0,0,0,L0 R0
12.0273,0,0,0,0,0,0,L0 R0
12.0776,0,0,0,0,0,0,L0 R0
12.1275,0,0,0,0,0,0,L0 R0
12.1774,0,0,0,0,0,0,L0 R0
12.2273,0,0,0,0,0,0,L0 R0
12.2772,0,0,0,0,0,0,L0 R0
12.3277,0,0,0,0,0,0,L0 R0
12.377,0,0,0,0,0,0,L0 R0
12.4276,0,0,0,0,0,0,L0 R0
12.4776,0,0,0,0,0,0,L0 R0
12.5275,0,0,0,0,0,0,L0 R0
12.577,0,0,0,0,0,0,L0 R0
12.6274,0,0,0,0,0,0,L0 R0
12.677,0,0,0,0,0,0,L0 R0
12.7277,0,0,0,0,0,0,L0 R0
12.7773,0,0,0,0,0,0,L0 R0
12.8269,0,0,0,0,0,0,L0 R0
12.8774,0,0,0,0,0,0,L0 R0
12.9278,0,0,0,0,0,0,L0 R0
12.9785,0,0,0,0,0,0,L0 R0
13.0282,0,0,0,0,0,0,L0 R0
13.0783,0,0,0,0,0,0,L0 R0
13.1281,0,0,0,0,0,0,L0 R0
13.1788,0,0,0,0,0,0,L0 R0
13.2293,0,0,0,0,0,0,L0 R0
13.2798,0,0,0,0,0,0,L0 R0
13.33,0,0,0,0,0,0,L0 R0
13.3806,0,0,0,0,0,0,L0 R0
13.4302,0,0,0,0,0,0,L0 R0
13.48,0,0,0,0,0,0,L0 R0
13.5307,0,0,0,0,0,0,L0 R0
13.5808,0,0,0,0,0,0,L0 R0
13.6316,0,0,0,0,0,0,L0 R0
13.6818,0,0,0,0,0,0,L0 R0
13.7319,0,0,0,0,0,0,L0 R0
13.7821,0,0,0,0,0,0,L0 R0
13.8322,0,0,0,0,0,0,L0 R0
13.8823,0,0,0,0,0,0,L0 R0
13.9327,0,0,0,0,0,0,L0 R0
13.982,0,0,0,0,0,0,L0 R0
14.0324,0,0,0,0,0,0,L0 R0
14.0823,0,0,0,0,0,0,L0 R0
14.1322,0,0,0,0,0,0,L0 R0
14.182,0,0,0,0,0,0,L0 R0
14.2321,0,0,0,0,0,0,L0 R0
14.2818,0,0,0,0,0,0,L0 R0
14.3326,0,0,0,0,0,0,L0 R0
14.3821,0,0,0,0,0,0,L0 R0
14.4326,0,0,0,0,0,0,L0 R0
14.4822,0,0,0,0,0,0,L0 R0
14.5327,0,0,0,0,0,0,L0 R0
14.5818,0,0,0,0,0,0,L0 R0
14.6318,0,0,0,0,0,0,L0 R0
14.6823,0,0,0,0,0,0,L0 R0
14.7319,0,0,0,0,0,0,L0 R0
14.7827,0,0,0,0,0,0,L0 R0
14.8331,0,0,0,0,0,0,L0 R0
14.8835,0,0,0,0,0,0,L0 R0
14.9328,0,0,0,0,0,0,L0 R0
14.9836,0,0,0,0,0,0,L0 R0
15.033,0,0,0,0,0,0,L0 R0
15.0828,0,0,0,0,0,0,L0 R0
15.1334,0,0,0,0,0,0,L0 R0
15.183,0,0,0,0,0,0,L0 R0
